Name,Hex,Preview,
**darkgrey**,`#a9a9a9`,![#a9a9a9](https://via.placeholder.com/120x45/a9a9a9?text=+),
**darkkhaki**,`#bdb76b`,![#bdb76b](https://via.placeholder.com/120x45/bdb76b?text=+),
**darkmagenta**,`#8b008b`,![#8b008b](https://via.placeholder.com/120x45/8b008b?text=+),
**darkolivegreen**,`#556b2f`,![#556b2f](https://via.placeholder.com/120x45/556b2f?text=+),
**darkorange**,`#ff8c00`,![#ff8c00](https://via.placeholder.com/120x45/ff8c00?text=+),
**darkorchid**,`#9932cc`,![#9932cc](https://via.placeholder.com/120x45/9932cc?text=+),
**darkred**,`#8b0000`,![#8b0000](https://via.placeholder.com/120x45/8b0000?text=+),
**darksalmon**,`#e9967a`,![#e9967a](https://via.placeholder.com/120x45/e9967a?text=+),
**darkseagreen**,`#8fbc8f`,![#8fbc8f](https://via.placeholder.com/120x45/8fbc8f?text=+),
**darkslateblue**,`#483d8b`,![#483d8b](https://via.placeholder.com/120x45/483d8b?text=+),
**darkslategray**,`#2f4f4f`,![#2f4f4f](https://via.placeholder.com/120x45/2f4f4f?text=+),
**darkslategrey**,`#2f4f4f`,![#2f4f4f](https://via.placeholder.com/120x45/2f4f4f?text=+),
**darkturquoise**,`#00ced1`,![#00ced1](https://via.placeholder.com/120x45/00ced1?text=+),
**darkviolet**,`#9400d3`,![#9400d3](https://via.placeholder.com/120x45/9400d3?text=+),
**deeppink**,`#ff1493`,![#ff1493](https://via.placeholder.com/120x45/ff1493?text=+),
**deepskyblue**,`#00bfff`,![#00bfff](https://via.placeholder.com/120x45/00bfff?text=+),
**dimgray**,`#696969`,![#696969](https://via.placeholder.com/120x45/696969?text=+),
**dimgrey**,`#696969`,![#696969](https://via.placeholder.com/120x45/696969?text=+),
**dodgerblue**,`#1e90ff`,![#1e90ff](https://via.placeholder.com/120x45/1e90ff?text=+),
**firebrick**,`#b22222`,![#b22222](https://via.placeholder.com/120x45/b22222?text=+),
**floralwhite**,`#fffaf0`,![#fffaf0](https://via.placeholder.com/120x45/fffaf0?text=+),
**forestgreen**,`#228b22`,![#228b22](https://via.placeholder.com/120x45/228b22?text=+),
**gainsboro**,`#dcdcdc`,![#dcdcdc](https://via.placeholder.com/120x45/dcdcdc?text=+),
**ghostwhite**,`#f8f8ff`,![#f8f8ff](https://via.placeholder.com/120x45/f8f8ff?text=+),
**gold**,`#ffd700`,![#ffd700](https://via.placeholder.com/120x45/ffd700?text=+),
**goldenrod**,`#daa520`,![#daa520](https://via.placeholder.com/120x45/daa520?text=+),
**greenyellow**,`#adff2f`,![#adff2f](https://via.placeholder.com/120x45/adff2f?text=+),
**grey**,`#808080`,![#808080](https://via.placeholder.com/120x45/808080?text=+),
**honeydew**,`#f0fff0`,![#f0fff0](https://via.placeholder.com/120x45/f0fff0?text=+),
**hotpink**,`#ff69b4`,![#ff69b4](https://via.placeholder.com/120x45/ff69b4?text=+),
**indianred**,`#cd5c5c`,![#cd5c5c](https://via.placeholder.com/120x45/cd5c5c?text=+),
**indigo**,`#4b0082`,![#4b0082](https://via.placeholder.com/120x45/4b0082?text=+),
**ivory**,`#fffff0`,![#fffff0](https://via.placeholder.com/120x45/fffff0?text=+),
**khaki**,`#f0e68c`,![#f0e68c](https://via.placeholder.com/120x45/f0e68c?text=+),
**lavender**,`#e6e6fa`,![#e6e6fa](https://via.placeholder.com/120x45/e6e6fa?text=+),
**lavenderblush**,`#fff0f5`,![#fff0f5](https://via.placeholder.com/120x45/fff0f5?text=+),
**lawngreen**,`#7cfc00`,![#7cfc00](https://via.placeholder.com/120x45/7cfc00?text=+),
**lemonchiffon**,`#fffacd`,![#fffacd](https://via.placeholder.com/120x45/fffacd?text=+),
**lightblue**,`#add8e6`,![#add8e6](https://via.placeholder.com/120x45/add8e6?text=+),
**lightcoral**,`#f08080`,![#f08080](https://via.placeholder.com/120x45/f08080?text=+),
**lightcyan**,`#e0ffff`,![#e0ffff](https://via.placeholder.com/120x45/e0ffff?text=+),
**lightgoldenrodyellow**,`#fafad2`,![#fafad2](https://via.placeholder.com/120x45/fafad2?text=+),
**lightgray**,`#d3d3d3`,![#d3d3d3](https://via.placeholder.com/120x45/d3d3d3?text=+),
**lightgreen**,`#90ee90`,![#90ee90](https://via.placeholder.com/120x45/90ee90?text=+),
**lightgrey**,`#d3d3d3`,![#d3d3d3](https://via.placeholder.com/120x45/d3d3d3?text=+),
**lightpink**,`#ffb6c1`,![#ffb6c1](https://via.placeholder.com/120x45/ffb6c1?text=+),
**lightsalmon**,`#ffa07a`,![#ffa07a](https://via.placeholder.com/120x45/ffa07a?text=+),
**lightseagreen**,`#20b2aa`,![#20b2aa](https://via.placeholder.com/120x45/20b2aa?text=+),
**lightskyblue**,`#87cefa`,![#87cefa](https://via.placeholder.com/120x45/87cefa?text=+),
**lightslategray**,`#778899`,![#778899](https://via.placeholder.com/120x45/778899?text=+),
**lightslategrey**,`#778899`,![#778899](https://via.placeholder.com/120x45/778899?text=+),
**lightsteelblue**,`#b0c4de`,![#b0c4de](https://via.placeholder.com/120x45/b0c4de?text=+),
**lightyellow**,`#ffffe0`,![#ffffe0](https://via.placeholder.com/120x45/ffffe0?text=+),
**limegreen**,`#32cd32`,![#32cd32](https://via.placeholder.com/120x45/32cd32?text=+),
**linen**,`#faf0e6`,![#faf0e6](https://via.placeholder.com/120x45/faf0e6?text=+),
**magenta**,`#ff00ff`,![#ff00ff](https://via.placeholder.com/120x45/ff00ff?text=+),
**mediumaquamarine**,`#66cdaa`,![#66cdaa](https://via.placeholder.com/120x45/66cdaa?text=+),
**mediumblue**,`#0000cd`,![#0000cd](https://via.placeholder.com/120x45/0000cd?text=+),
**mediumorchid**,`#ba55d3`,![#ba55d3](https://via.placeholder.com/120x45/ba55d3?text=+),
**mediumpurple**,`#9370db`,![#9370db](https://via.placeholder.com/120x45/9370db?text=+),
**mediumseagreen**,`#3cb371`,![#3cb371](https://via.placeholder.com/120x45/3cb371?text=+),
**mediumslateblue**,`#7b68ee`,![#7b68ee](https://via.placeholder.com/120x45/7b68ee?text=+),
**mediumspringgreen**,`#00fa9a`,![#00fa9a](https://via.placeholder.com/120x45/00fa9a?text=+),
**mediumturquoise**,`#48d1cc`,![#48d1cc](https://via.placeholder.com/120x45/48d1cc?text=+),
**mediumvioletred**,`#c71585`,![#c71585](https://via.placeholder.com/120x45/c71585?text=+),
**midnightblue**,`#191970`,![#191970](https://via.placeholder.com/120x45/191970?text=+),
**mintcream**,`#f5fffa`,![#f5fffa](https://via.placeholder.com/120x45/f5fffa?text=+),
**mistyrose**,`#ffe4e1`,![#ffe4e1](https://via.placeholder.com/120x45/ffe4e1?text=+),
**moccasin**,`#ffe4b5`,![#ffe4b5](https://via.placeholder.com/120x45/ffe4b5?text=+),
**navajowhite**,`#ffdead`,![#ffdead](https://via.placeholder.com/120x45/ffdead?text=+),
**oldlace**,`#fdf5e6`,![#fdf5e6](https://via.placeholder.com/120x45/fdf5e6?text=+),
**olivedrab**,`#6b8e23`,![#6b8e23](https://via.placeholder.com/120x45/6b8e23?text=+),
**orangered**,`#ff4500`,![#ff4500](https://via.placeholder.com/120x45/ff4500?text=+),
**orchid**,`#da70d6`,![#da70d6](https://via.placeholder.com/120x45/da70d6?text=+),
**palegoldenrod**,`#eee8aa`,![#eee8aa](https://via.placeholder.com/120x45/eee8aa?text=+),
**palegreen**,`#98fb98`,![#98fb98](https://via.placeholder.com/120x45/98fb98?text=+),
**paleturquoise**,`#afeeee`,![#afeeee](https://via.placeholder.com/120x45/afeeee?text=+),
**palevioletred**,`#db7093`,![#db7093](https://via.placeholder.com/120x45/db7093?text=+),
**papayawhip**,`#ffefd5`,![#ffefd5](https://via.placeholder.com/120x45/ffefd5?text=+),
**peachpuff**,`#ffdab9`,![#ffdab9](https://via.placeholder.com/120x45/ffdab9?text=+),
**peru**,`#cd853f`,![#cd853f](https://via.placeholder.com/120x45/cd853f?text=+),
**pink**,`#ffc0cb`,![#ffc0cb](https://via.placeholder.com/120x45/ffc0cb?text=+),
**plum**,`#dda0dd`,![#dda0dd](https://via.placeholder.com/120x45/dda0dd?text=+),
**powderblue**,`#b0e0e6`,![#b0e0e6](https://via.placeholder.com/120x45/b0e0e6?text=+),
**rosybrown**,`#bc8f8f`,![#bc8f8f](https://via.placeholder.com/120x45/bc8f8f?text=+),
**royalblue**,`#4169e1`,![#4169e1](https://via.placeholder.com/120x45/4169e1?text=+),
**saddlebrown**,`#8b4513`,![#8b4513](https://via.placeholder.com/120x45/8b4513?text=+),
**salmon**,`#fa8072`,![#fa8072](https://via.placeholder.com/120x45/fa8072?text=+),
**sandybrown**,`#f4a460`,![#f4a460](https://via.placeholder.com/120x45/f4a460?text=+),
**seagreen**,`#2e8b57`,![#2e8b57](https://via.placeholder.com/120x45/2e8b57?text=+),
**seashell**,`#fff5ee`,![#fff5ee](https://via.placeholder.com/120x45/fff5ee?text=+),
**sienna**,`#a0522d`,![#a0522d](https://via.placeholder.com/120x45/a0522d?text=+),
**skyblue**,`#87ceeb`,![#87ceeb](https://via.placeholder.com/120x45/87ceeb?text=+),
**slateblue**,`#6a5acd`,![#6a5acd](https://via.placeholder.com/120x45/6a5acd?text=+),
**slategray**,`#708090`,![#708090](https://via.placeholder.com/120x45/708090?text=+),
**slategrey**,`#708090`,![#708090](https://via.placeholder.com/120x45/708090?text=+),
**snow**,`#fffafa`,![#fffafa](https://via.placeholder.com/120x45/fffafa?text=+),
**springgreen**,`#00ff7f`,![#00ff7f](https://via.placeholder.com/120x45/00ff7f?text=+),
**steelblue**,`#4682b4`,![#4682b4](https://via.placeholder.com/120x45/4682b4?text=+),
**tan**,`#d2b48c`,![#d2b48c](https://via.placeholder.com/120x45/d2b48c?text=+),
**thistle**,`#d8bfd8`,![#d8bfd8](https://via.placeholder.com/120x45/d8bfd8?text=+),
**tomato**,`#ff6347`,![#ff6347](https://via.placeholder.com/120x45/ff6347?text=+),
**turquoise**,`#40e0d0`,![#40e0d0](https://via.placeholder.com/120x45/40e0d0?text=+),
**violet**,`#ee82ee`,![#ee82ee](https://via.placeholder.com/120x45/ee82ee?text=+),
**wheat**,`#f5deb3`,![#f5deb3](https://via.placeholder.com/120x45/f5deb3?text=+),
**whitesmoke**,`#f5f5f5`,![#f5f5f5](https://via.placeholder.com/120x45/f5f5f5?text=+),
**yellowgreen**,`#9acd32`,![#9acd32](https://via.placeholder.com/120x45/9acd32?text=+),
[**rebeccapurple**](https://en.wikipedia.org/wiki/Eric_A._Meyer#Personal_life),`#663399`,![#663399](https://via.placeholder.com/120x45/663399?text=+)
